corp_id,corp_name,typ,address,county,NAME,geometry
6375,North Central Parke Comm School Corporation,School Corporation,"602 Howard Ave, Rockville, IN, 47872",Parke,North Central Parke Community School Corporation,"c(-87.2341978, 39.7679216)"
6445,Pike County School Corporation,School Corporation,"211 South 12th St, Petersburg, IN, 47567",Pike,Pike County School Corporation,"c(-87.2772225, 38.4918217)"
6460,Metropolitan School District Boone Township,School Corporation,"307 S Main St, Hebron, IN, 46341",Porter,Boone Township Metropolitan School District,"c(-87.1977404, 41.316463)"
6470,Duneland School Corporation,School Corporation,"601 W Morgan Ave, Chesterton, IN, 46304",Porter,Duneland School Corporation,"c(-87.059963, 41.6087847)"
6510,East Porter County School Corporation,School Corporation,"502 E College Ave - PO Box 370, Kouts, IN, 46347",Porter,East Porter County School Corporation,"c(-87.0306651, 41.3148356)"
6520,Porter Township School Corporation,School Corporation,"248 S 500 W, Valparaiso, IN, 46385",Porter,Porter Township School Corporation,"c(-87.1620456, 41.3986726)"
6530,Union Township School Corporation,School Corporation,"599 W 300 N Suite A, Valparaiso, IN, 46385",Porter,Union Township School Corporation,"c(-87.1471679, 41.506501)"
6550,Portage Township Schools,School Corporation,"6240 US Hwy 6, Portage, IN, 46368",Porter,Portage Township Schools,"c(-87.1723984, 41.5516742)"
6560,Valparaiso Community Schools,School Corporation,"3801 N Campbell St, Valparaiso, IN, 46385",Porter,Valparaiso Community Schools,"c(-87.0672163, 41.5021938)"
6590,Metropolitan School District Mount Vernon,School Corporation,"1000 W 4th St, Mount Vernon, IN, 47620",Posey,Mount Vernon Metropolitan School District,"c(-87.906771, 37.9290206)"
6600,Metropolitan School District North Posey County Schools,School Corporation,"101 N Church St, Poseyville, IN, 47633",Posey,North Posey County Schools Metropolitan School District,"c(-87.7847782, 38.1725346)"
6620,Eastern Pulaski Community School Corporation,School Corporation,"711 School Dr, Winamac, IN, 46996",Pulaski,Eastern Pulaski Community School Corporation,"c(-86.5975057, 41.0462349)"
6630,West Central School Corporation,School Corporation,"PO Box 578, Francesville, IN, 47946",Pulaski,West Central School Corporation,"c(-86.8621827, 41.037141)"
6705,South Putnam Community Schools,School Corporation,"3999 S US Hwy 231, Greencastle, IN, 46135",Putnam,Greencastle Community School Corporation,"c(-86.8326309, 39.6026821)"
6715,North Putnam Community Schools,School Corporation,"PO Box 169-300 N Washington, Bainbridge, IN, 46105",Putnam,North Putnam Community Schools,"c(-86.812242, 39.7633013)"
6750,Cloverdale Community Schools,School Corporation,"310 E Logan, Cloverdale, IN, 46120",Putnam,Cloverdale Community Schools,"c(-86.7818523, 39.483443)"
6755,Greencastle Community School Corporation,School Corporation,"1002 Mill Pond Lane, Greencastle, IN, 46135",Putnam,Greencastle Community School Corporation,"c(-86.8403556, 39.6403188)"
6795,Union School Corporation,School Corporation,"8707 W US Hwy 36 PO Box 148, Modoc, IN, 47358",Randolph,Union School Corporation,"c(-85.1422848, 40.0453531)"
6805,Randolph Southern School Corporation,School Corporation,"1 Rebel Dr, Lynn, IN, 47355",Randolph,Randolph Southern School Corporation,"c(-84.981754, 40.0777761)"
6820,Monroe Central School Corporation,School Corporation,"1918 N CR 1000 W, Parker City, IN, 47368",Randolph,Monroe Central School Corporation,"c(-85.1997667, 40.1789583)"
6825,Randolph Central School Corporation,School Corporation,"103 N East St, Winchester, IN, 47394",Randolph,Randolph Central School Corporation,"c(-84.9799858, 40.1727455)"
6835,Randolph Eastern School Corporation,School Corporation,"731 N Plum St, Union City, IN, 47390",Randolph,Randolph Eastern School Corporation,"c(-84.8146277, 40.2055819)"
6865,South Ripley Community School Corporation,School Corporation,"PO Box 690, Versailles, IN, 47042",Ripley,South Ripley Community School Corporation,"c(-85.3136218, 39.0188511)"
6895,Batesville Community School Corporation,School Corporation,"PO Box 121, Batesville, IN, 47006",Ripley,Batesville Community School Corporation,"c(-85.2308414, 39.3475649)"
6900,Jac-Cen-Del Community School Corporation,School Corporation,"723 N Buckeye St, Osgood, IN, 47037",Ripley,Jac-Cen-Del Community School Corporation,"c(-85.293838, 39.1357353)"
6910,Milan Community Schools,School Corporation,"412 E Carr St, Milan, IN, 47031",Ripley,Milan Community Schools,"c(-85.1249073, 39.1204878)"
6995,Rush County Schools,School Corporation,"330 W 8th St, Rushville, IN, 46173",Rush,Rush County Schools,"c(-85.4487993, 39.6152638)"
7150,John Glenn School Corporation,School Corporation,"101 John Glenn Dr, Walkerton, IN, 46574",St Joseph,John Glenn School Corporation,"c(-86.4810434, 41.458001)"
7175,Penn-Harris-Madison School Corporation,School Corporation,"55900 Bittersweet Rd, Mishawaka, IN, 46545",St Joseph,Penn-Harris-Madison School Corporation,"c(-86.1086726, 41.6821092)"
7200,School City of Mishawaka,School Corporation,"1402 S Main St, Mishawaka, IN, 46544",St Joseph,Mishawaka School City,"c(-86.1793982, 41.6491237)"
7205,South Bend Community School Corporation,School Corporation,"215 Dr Martin Luther King Jr B, South Bend, IN, 46601",St Joseph,South Bend Community School Corporation,"c(-86.2491653, 41.6744808)"
7215,Union-North United School Corporation,School Corporation,"22601 Tyler Rd, Lakeville, IN, 46536",St Joseph,Union-North United School Corporation,"c(-86.3048487, 41.477562)"
7230,Scott County School District 1,School Corporation,"PO Box 9, Austin, IN, 47102",Scott,Scott County School District 1,"c(-85.7769164, 38.7549368)"
7255,Scott County School District 2,School Corporation,"375 E McClain Ave, Scottsburg, IN, 47170",Scott,Scott County School District 2,"c(-85.7663851, 38.6844525)"
7285,Shelby Eastern Schools,School Corporation,"2451 N 600 E, Shelbyville, IN, 46176",Shelby,Shelby Eastern Schools,"c(-85.6697994, 39.5616496)"
7350,Northwestern Consolidated School Corporation,School Corporation,"4920 W 600 N, Fairland, IN, 46126",Shelby,Northwestern Consolidated School Corporation,"c(-85.874304, 39.6107052)"
7360,Southwestern Consolidated School Shelby County,School Corporation,"3406 W 600 S, Shelbyville, IN, 46176",Shelby,Southwestern Shelby County Consolidated Schools,"c(-85.8456833, 39.4407966)"
7365,Shelbyville Central Schools,School Corporation,"1121 E State Road 44, Shelbyville, IN, 46176",Shelby,Shelbyville Central Schools,"c(-85.7599292, 39.5196499)"
7385,North Spencer County School Corporation,School Corporation,"PO Box 316, Lincoln City, IN, 47552",Spencer,North Spencer County School Corporation,"c(-86.9423801, 38.0658202)"
7445,South Spencer County School Corporation,School Corporation,"321 S 5th Street, Rockport, IN, 47635",Spencer,South Spencer County School Corporation,"c(-87.0511065, 37.8796483)"
7495,Oregon-Davis School Corporation,School Corporation,"5998 N 750 E, Hamlet, IN, 46532",Starke,Oregon-Davis School Corporation,"c(-86.5528269, 41.38923)"
7515,North Judson-San Pierre School Corporation,School Corporation,"801 Campbell Dr, North Judson, IN, 46366",Starke,North Judson-San Pierre School Corporation,"c(-86.7857718, 41.2110408)"
7525,Knox Community School Corporation,School Corporation,"2 Redskin Trl, Knox, IN, 46534",Starke,Knox Community School Corporation,"c(-86.624457, 41.2865936)"
7605,Fremont Community Schools,School Corporation,"PO Box 665, Fremont, IN, 46737",Steuben,Fremont Community Schools,"c(-84.9489958, 41.7312373)"
7610,Hamilton Community Schools,School Corporation,"903 S Wayne St, Hamilton, IN, 46742",Steuben,Hamilton Community Schools,"c(-84.919959, 41.522286)"
7615,Metropolitan School District Steuben County,School Corporation,"400 S Martha St, Angola, IN, 46703",Steuben,Steuben County Metropolitan School District,"c(-84.9984731, 41.6322289)"
7645,Northeast School Corporation,School Corporation,"PO Box 493, Hymera, IN, 47855",Sullivan,Northeast School Corporation,"c(-87.3957238, 39.1837876)"
7715,Southwest School Corporation,School Corporation,"PO Box 510, Sullivan, IN, 47882",Sullivan,Southwest School Corporation,"c(-87.4207518, 39.0843122)"
7775,Switzerland County School Corporation,School Corporation,"1040 W Main St, Vevay, IN, 47043",Switzerland,Switzerland County School Corporation,"c(-85.0844019, 38.7387551)"
7855,Lafayette School Corporation,School Corporation,"2300 Cason St, Lafayette, IN, 47904",Tippecanoe,Lafayette School Corporation,"c(-86.8712844, 40.4222831)"
7865,Tippecanoe School Corporation,School Corporation,"21 Elston Rd, Lafayette, IN, 47909",Tippecanoe,Tippecanoe School Corporation,"c(-86.90429, 40.3923331)"
7875,West Lafayette Community School Corporation,School Corporation,"1130 N Salisbury, West Lafayette, IN, 47906",Tippecanoe,West Lafayette Community School Corporation,"c(-86.9055935, 40.4370751)"
7935,Tri-Central Community Schools,School Corporation,"4774 N 200 W, Sharpsville, IN, 46068",Tipton,Tipton County Northern Community School Corporation,"c(-86.0536605, 40.3756544)"
7945,Tipton Community School Corporation,School Corporation,"1051 S Main St, Tipton, IN, 46072",Tipton,Tipton Community School Corporation,"c(-86.0399007, 40.2722284)"
7950,Union County/Clg Corner Joint School District,School Corporation,"107 S Layman St, Liberty, IN, 47353",Union,Union County-College Corner Joint School District,"c(-84.9171539, 39.6367448)"
7995,Evansville Vanderburgh School Corporation,School Corporation,"951 Walnut St, Evansville, IN, 47713",Vanderburgh,Evansville-Vanderburgh School Corporation,"c(-87.5635528, 37.9725911)"
8010,North Vermillion Community School Corporation,School Corporation,"5551 N Falcon Dr, Cayuga, IN, 47928",Vermillion,North Vermillion Community School Corporation,"c(-87.4519935, 39.9669621)"
8020,South Vermillion Community School Corporation,School Corporation,"PO Box 387, Clinton, IN, 47842",Vermillion,South Vermillion Community School Corporation,"c(-87.4405786, 39.7268394)"
8030,Vigo County School Corporation,School Corporation,"PO Box 3703, Terre Haute, IN, 47803",Vigo,Vigo County School Corporation,"c(-87.4207518, 39.4165382)"
8045,Manchester Community Schools,School Corporation,"404 W Ninth St, N Manchester, IN, 46962",Wabash,Manchester Community Schools,"c(-85.7758999, 41.009895)"
8050,Metropolitan School District Wabash County Schools,School Corporation,"204 N 300 W, Wabash, IN, 46992",Wabash,Wabash County Schools Metropolitan School District,"c(-85.8492946, 40.8278251)"
8060,Wabash City Schools,School Corporation,"189 W Market St, Wabash, IN, 46992",Wabash,Wabash City Schools,"c(-85.823625, 40.796447)"
8115,Metropolitan School District Warren County,School Corporation,"101 N Monroe St, Williamsport, IN, 47993",Warren,Warren County Metropolitan School District,"c(-87.2937518, 40.2872342)"
8130,Warrick County School Corporation,School Corporation,"PO Box 809, Boonville, IN, 47601",Warrick,Warrick County School Corporation,"c(-87.2618328, 38.0736703)"
8205,Salem Community Schools,School Corporation,"500 N Harrison St, Salem, IN, 47167",Washington,Salem Community Schools,"c(-86.1054457, 38.6140167)"
8215,East Washington School Corporation,School Corporation,"1050 N Eastern School Rd, Pekin, IN, 47165",Washington,East Washington School Corporation,"c(-86.0014731, 38.5146014)"
8220,West Washington School Corporation,School Corporation,"8026 W Batt Rd, Campbellsburg, IN, 47108",Washington,West Washington School Corporation,"c(-86.2341519, 38.5835549)"
8305,Nettle Creek School Corporation,School Corporation,"297 E Northmarket St, Hagerstown, IN, 47346",Wayne,Nettle Creek School Corporation,"c(-85.1583343, 39.9123225)"
8355,Western Wayne Schools,School Corporation,"519 Queen St., Pershing, IN, 47370",Wayne,Western Wayne Schools,"c(-85.1373986, 39.8143106)"
8360,Centerville-Abington Community Schools,School Corporation,"115 W South St, Centerville, IN, 47330",Wayne,Centerville-Abington Community Schools,"c(-84.9977135, 39.8144717)"
8375,Northeastern Wayne Schools,School Corporation,"PO Box 406, Fountain City, IN, 47341",Wayne,Northeastern Wayne Schools,"c(-84.9193082, 39.9317436)"
8385,Richmond Community Schools,School Corporation,"300 Hub Etchison Parkway, Richmond, IN, 47374",Wayne,Richmond Community School Corporation,"c(-84.9020762, 39.8244866)"
8425,Southern Wells Community Schools,School Corporation,"9120 S 300 W, Poneto, IN, 46781",Wells,Southern Wells Community Schools,"c(-85.2799676, 40.6082732)"
8435,Norwell Community Schools,School Corporation,"312 N Jefferson St, Ossian, IN, 46777",Wells,Northern Wells Community Schools,"c(-85.16588, 40.8827459)"
8445,Metropolitan School District Bluffton-Harrison,School Corporation,"805 E Harrison St, Bluffton, IN, 46714",Wells,Bluffton-Harrison Metropolitan School District,"c(-85.1271907, 40.7145634)"
8515,North White School Corporation,School Corporation,"402 E Broadway St, Monon, IN, 47959",White,North White School Corporation,"c(-86.8748551, 40.8687365)"
8525,Frontier School Corporation,School Corporation,"PO Box 809, Chalmers, IN, 47929",White,Frontier School Corporation,"c(-86.8621827, 40.6327966)"
8535,Tri-County School Corporation,School Corporation,"105 N 2nd St, Wolcott, IN, 47995",White,Tri-County School Corporation,"c(-87.042301, 40.7590605)"
8565,Twin Lakes School Corporation,School Corporation,"565 S Main St, Monticello, IN, 47960",White,Twin Lakes School Corporation,"c(-86.7614859, 40.7379158)"
8625,Smith-Green Community Schools,School Corporation,"222 W Tulley St, Churubusco, IN, 46723",Whitley,Smith-Green Community Schools,"c(-85.3230721, 41.2310371)"
8665,Whitley County Consolidated Schools,School Corporation,"107 N Walnut St, Columbia City, IN, 46725",Whitley,Whitley County Consolidated Schools,"c(-85.4934534, 41.1580538)"
9022,Paramount School of Excellence Lafayette,School Corporation,"1904 Elmwood Ave, Lafayette, IN, 47904",NA,Lafayette School Corporation,"c(-86.8761052, 40.427751)"
0015,Adams Central Community Schools,School Corporation,"222 W Washington St, Monroe, IN, 46772-9436",Adams,Adams Central Community Schools,"c(-84.9193082, 40.746062)"
0025,North Adams Community Schools,School Corporation,"625 Stadium Dr, Decatur, IN, 46733",Adams,North Adams Community Schools,"c(-84.9193082, 40.8672374)"
0035,South Adams Schools,School Corporation,"1075 Starfire Way, Berne, IN, 46711",Adams,South Adams Schools,"c(-84.9193082, 40.6246316)"
0125,Metropolitan School District Southwest Allen County Schools,School Corporation,"4824 Homestead Rd, Fort Wayne, IN, 46814",Allen,Southwest Allen County Metropolitan School District,"c(-85.2881248, 41.0387344)"
0225,Northwest Allen County Schools,School Corporation,"13119 Coldwater Rd, Fort Wayne, IN, 46845",Allen,Northwest Allen County Schools,"c(-85.1365144, 41.2044412)"
0235,Fort Wayne Community Schools,School Corporation,"1200 S Clinton St, Fort Wayne, IN, 46802",Allen,Fort Wayne Community Schools,"c(-85.0649071, 41.1352268)"
0255,East Allen County Schools,School Corporation,"1240 SR 930 E, New Haven, IN, 46774",Allen,East Allen County Schools,"c(-84.8984775, 41.0476016)"
0365,Bartholomew Consolidated School Corporation,School Corporation,"1200 Central Ave, Columbus, IN, 47201",Bartholomew,Bartholomew County School Corporation,"c(-85.9048034, 39.2111108)"
0370,Flat Rock-Hawcreek School Corporation,School Corporation,"9423 N SR 9, Hope, IN, 47246",Bartholomew,Flat Rock-Hawcreek School Corporation,"c(-85.7871663, 39.3068524)"
0395,Benton Community School Corporation,School Corporation,"PO Box 512, Fowler, IN, 47944",Benton,Benton Community School Corporation,"c(-87.2618328, 40.5617189)"
0515,Blackford County Schools,School Corporation,"0668 W 200 S, Hartford City, IN, 47348",Blackford,Blackford County Schools,"c(-85.3136218, 40.4992784)"
0615,Western Boone County Community School District,School Corporation,"1201 N SR 75, Thorntown, IN, 46071",Boone,Western Boone County Community School Corporation,"c(-86.6207943, 40.0551854)"
0630,Zionsville Community Schools,School Corporation,"900 Mulberry St, Zionsville, IN, 46077",Boone,Zionsville Community Schools,"c(-86.2767995, 39.9831886)"
0665,Lebanon Community School Corporation,School Corporation,"1810 N Grant St, Lebanon, IN, 46052",Boone,Lebanon Community School Corporation,"c(-86.4592091, 40.0503732)"
0670,Brown County School Corporation,School Corporation,"357 E Main St, Nashville, IN, 47448",Brown,Brown County County School Corporation,"c(-86.1751759, 39.1749729)"
0750,Carroll Consolidated School Corporation,School Corporation,"2 S 3rd St, Flora, IN, 46929",Carroll,Carroll Consolidated School Corporation,"c(-86.4794359, 40.5202693)"
0755,Delphi Community School Corporation,School Corporation,"501 Armory Rd, Delphi, IN, 46923",Carroll,Delphi Community School Corporation,"c(-86.5400674, 40.6236211)"
0775,Pioneer Regional School Corporation,School Corporation,"PO Box 577, Royal Center, IN, 46978",Cass,Pioneer Regional School Corporation,"c(-86.4592091, 40.864111)"
0815,Lewis Cass Schools,School Corporation,"100 S Main Street, Walton, IN, 46994",Cass,Lewis Cass Schools,"c(-86.2514139, 40.6627281)"
0875,Logansport Community School Corporation,School Corporation,"2829 George St, Logansport, IN, 46947",Cass,Logansport Community School Corporation,"c(-86.3295554, 40.7563474)"
0935,Borden-Henryville School Corporation,School Corporation,"14312 Railroad St., Memphis, IN, 47143",Clark,Borden-Henryville School Corp,"c(-85.7608169, 38.4872222)"
0945,Silver Creek School Corporation,School Corporation,"601 Renz Ave, Sellersburg, IN, 47172",Clark,Silver Creek School Corporation,"c(-85.7564107, 38.397887)"
1000,Clarksville Community School Corporation,School Corporation,"502 Little League Blvd, Clarksville, IN, 47129",Clark,Clarksville Community School Corporation,"c(-85.7641013, 38.3008943)"
1010,Greater Clark County Schools,School Corporation,"2112 Utica-Sellersburg Rd, Jeffersonville, IN, 47130",Clark,Greater Clark County Schools,"c(-85.56121, 38.5271295)"
